"Extended Taxvat","Erweiterte UID Validierung"
"Active","Aktiviert"
"Default Group","Standardgruppe"
"Group for Valid VAT ID - Domestic","Kundengruppe für gültige USt-IdNr. - Inland"
"Group for Valid VAT ID - Intra-Union","Kundengruppe für gültige USt-IdNr. - EU"
"Group for Invalid VAT ID","Kundengruppe für ungültige USt-IdNr."

"Failure Handling","Fehlerbehandlung"
"Timeout Handling - Mark as Valid","Dienst nicht erreichbar - trotzdem als valide markieren"
"Customer get an Specified message","Kunde erhält eine Nachricht darüber"

"E-Mail Settings","E-Mail Einstellungen"
"Can Send Email","E-Mail nach Prüfung versenden?"
"to Store Owner","An den Shopbetreiber"
"Receiver","E-Mail Empfänger"
"Email Template","E-Mail-Vorlage"
"Customer Group was changed","Kundengruppe wurde geändert"

"Your VAT-ID is valid.","Die angegebene USt.-ID ist gültig."
"We have identified you as business customer.","Sie wurden als Geschäftskunde eingestuft."
"Your VAT-ID is invalid, please check the syntax. If this error remains please contact us directly.","Die angegebene USt.-ID ist ungültig oder falsch angegeben. Falls dies trotz richtiger Eingabe weiterhin der Fall ist, nehmen Sie bitte direkt Kontakt mit uns auf."
"We have identified you as EU business, you can order VAT-exempt in our shop now.","Sie wurden als EU-Unternehmen bestätigt."
"We could not check if your VAT-ID is valid.","Ihre USt.-ID konnte nicht überprüft werden."
"But you can order VAT-exempt in our shop now.","Wir haben Sie dennoch als Händler eingestuft."
"please try it again later.","Bitte versuchen Sie es später nocheinmal."
