"Extended Taxvat","Extended Taxvat"
"Active","Active"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"

"Failure Handling","Failure Handling"
"Timeout Handling - Mark as Valid","Timeout Handling - Mark as Valid"
"Customer get an Specified message","Customer get an Specified message"

"E-Mail Settings","E-Mail Settings"
"Can Send Email","Can Send Email"
"to Store Owner","to Store Owner"
"Receiver","Receiver"
"Email Template","Email Template"
"Customer Group was changed","Customer Group was changed"

"Your VAT-ID is valid.","Your VAT-ID is valid."
"We have identified you as business customer.","We have identified you as business customer."
"Your VAT-ID is invalid, please check the syntax. If this error remains please contact us directly.","Your VAT-ID is invalid, please check the syntax. If this error remains please contact us directly."
"We have identified you as EU business, you can order VAT-exempt in our shop now.","We have identified you as EU business, you can order VAT-exempt in our shop now."
"We could not check if your VAT-ID is valid.","We could not check if your VAT-ID is valid."
"But you can order VAT-exempt in our shop now.","But you can order VAT-exempt in our shop now."
"please try it again later.","please try it again later."
